5.1,3.5,1.4,0.2,setosa,7,3.2,4.7,1.4,versicolor
5.1,3.5,1.4,0.2,setosa,5.9,3.2,4.8,1.8,versicolor
5.1,3.5,1.4,0.2,setosa,5.5,2.6,4.4,1.2,versicolor
5.1,3.5,1.4,0.2,setosa,6.5,3.2,5.1,2,virginica
5.1,3.5,1.4,0.2,setosa,7.4,2.8,6.1,1.9,virginica
4.9,3,1.4,0.2,setosa,7,3.2,4.7,1.4,versicolor
4.9,3,1.4,0.2,setosa,5.9,3.2,4.8,1.8,versicolor
4.9,3,1.4,0.2,setosa,5.5,2.6,4.4,1.2,versicolor
4.9,3,1.4,0.2,setosa,6.5,3.2,5.1,2,virginica
4.9,3,1.4,0.2,setosa,7.4,2.8,6.1,1.9,virginica
4.7,3.2,1.3,0.2,setosa,7,3.2,4.7,1.4,versicolor
4.7,3.2,1.3,0.2,setosa,5.9,3.2,4.8,1.8,versicolor
4.7,3.2,1.3,0.2,setosa,5.5,2.6,4.4,1.2,versicolor
4.7,3.2,1.3,0.2,setosa,6.5,3.2,5.1,2,virginica
4.7,3.2,1.3,0.2,setosa,7.4,2.8,6.1,1.9,virginica
4.6,3.1,1.5,0.2,setosa,7,3.2,4.7,1.4,versicolor
4.6,3.1,1.5,0.2,setosa,5.9,3.2,4.8,1.8,versicolor
4.6,3.1,1.5,0.2,setosa,5.5,2.6,4.4,1.2,versicolor
4.6,3.1,1.5,0.2,setosa,6.5,3.2,5.1,2,virginica
4.6,3.1,1.5,0.2,setosa,7.4,2.8,6.1,1.9,virginica
5,3.6,1.4,0.2,setosa,7,3.2,4.7,1.4,versicolor
5,3.6,1.4,0.2,setosa,5.9,3.2,4.8,1.8,versicolor
5,3.6,1.4,0.2,setosa,5.5,2.6,4.4,1.2,versicolor
5,3.6,1.4,0.2,setosa,6.5,3.2,5.1,2,virginica
5,3.6,1.4,0.2,setosa,7.4,2.8,6.1,1.9,virginica
5.4,3.9,1.7,0.4,setosa,7,3.2,4.7,1.4,versicolor
5.4,3.9,1.7,0.4,setosa,5.9,3.2,4.8,1.8,versicolor
